,turns,chutes_hit,ladders_hit
969,26,2,2
970,21,2,2
971,10,0,2
972,28,1,2
973,51,9,5
974,20,1,3
975,37,4,2
976,16,0,3
977,39,3,4
978,36,5,3
979,41,6,4
980,21,1,3
981,39,5,4
982,15,1,1
983,96,12,4
984,93,12,2
985,47,6,4
986,35,2,2
987,38,5,2
988,52,7,3
989,69,10,6
990,25,3,2
991,73,7,6
992,20,1,3
993,77,8,2
994,38,6,3
995,17,2,3
996,13,0,2
997,22,1,2
998,32,2,4
999,15,1,3
1000,27,1,2
1001,43,3,5
1002,43,7,2
1003,91,12,8
1004,21,5,6
1005,34,6,5
1006,69,7,1
1007,13,0,1
1008,32,2,5
1009,134,24,13
1010,11,0,1
1011,25,1,3
1012,37,4,3
1013,16,2,4
1014,64,10,6
1015,25,2,0
1016,28,2,5
1017,22,3,5
1018,42,5,4
1019,21,1,2
1020,13,0,1
1021,29,3,3
1022,19,2,3
1023,13,1,2
1024,15,1,3
1025,31,4,3
1026,13,0,2
1027,43,5,6
1028,49,5,6
1029,26,3,5
1030,10,0,1
1031,17,1,2
1032,30,5,4
1033,13,2,3
1034,12,0,1
1035,40,5,5
1036,56,8,6
1037,14,0,1
1038,25,1,3
1039,8,0,2
1040,10,0,1
1041,8,0,3
1042,131,22,11
1043,24,2,3
1044,30,3,3
1045,59,5,2
1046,34,5,3
1047,12,1,2
1048,22,1,4
1049,19,2,2
1050,19,1,1
1051,23,2,2
1052,22,1,1
1053,8,0,3
1054,40,4,3
1055,76,10,5
1056,14,1,3
1057,105,13,7
1058,33,3,3
1059,39,4,5
1060,14,3,4
1061,11,0,2
1062,16,0,2
1063,13,0,3
1064,42,6,4
1065,36,5,4
1066,21,2,3
1067,60,12,6
1068,16,0,2
1069,23,4,5
1070,143,23,11
1071,44,4,3
1072,19,1,2
1073,80,12,8
1074,30,5,6
1075,41,5,3
1076,82,8,4
1077,14,0,2
1078,31,2,3
1079,28,3,3
1080,25,3,3
1081,68,7,2
1082,41,5,4
1083,41,6,5
1084,21,1,2
1085,31,1,2
1086,58,8,3
1087,18,2,3
1088,18,1,2
1089,25,1,2
1090,57,7,3
1091,48,4,2
1092,15,0,2
1093,46,5,7
1094,28,2,2
1095,13,1,3
1096,40,4,4
1097,45,3,1
1098,25,2,4
1099,66,13,2
1100,66,10,5
1101,21,1,2
1102,36,7,2
1103,25,1,2
1104,41,4,2
1105,35,4,4
1106,30,2,1
1107,19,2,2
1108,13,0,3
1109,55,6,3
1110,31,4,5
1111,16,2,2
1112,49,4,1
1113,26,2,2
1114,37,3,2
1115,21,0,2
1116,45,6,2
1117,61,10,8
1118,13,1,2
1119,61,11,8
1120,53,7,5
1121,104,14,10
1122,17,2,2
1123,90,13,5
1124,17,1,2
1125,28,2,3
1126,41,4,2
1127,15,1,1
1128,46,4,5
1129,25,3,4
1130,17,0,2
1131,20,2,2
1132,32,6,3
1133,38,4,1
1134,39,5,4
1135,55,9,5
1136,27,3,1
1137,19,1,2
1138,37,7,3
1139,88,9,3
1140,31,7,3
1141,24,3,3
1142,30,2,3
1143,29,3,2
1144,56,6,2
1145,40,3,1
1146,10,0,1
1147,28,3,5
1148,18,1,2
1149,22,1,4
1150,68,9,4
1151,59,7,6
1152,27,1,1
1153,69,6,3
1154,44,6,3
1155,15,1,2
1156,31,6,4
1157,23,3,2
1158,53,6,3
1159,33,4,7
1160,36,3,1
1161,44,3,4
1162,12,1,2
1163,33,2,4
1164,10,0,2
1165,17,0,2
1166,11,0,2
1167,62,10,8
1168,13,1,3
1169,21,3,3
1170,26,4,3
1171,17,1,1
1172,38,3,0
1173,30,4,3
1174,14,0,1
1175,32,2,2
1176,26,2,3
1177,31,5,3
1178,65,8,7
1179,22,2,2
1180,21,4,3
1181,11,1,4
1182,34,3,3
1183,88,13,4
1184,22,0,1
1185,51,7,3
1186,41,4,1
1187,66,6,4
1188,23,2,2
1189,106,17,7
1190,80,12,7
1191,41,3,3
1192,35,6,3
1193,53,9,2
1194,99,12,7
1195,118,15,7
1196,62,12,5
1197,51,7,4
1198,37,6,6
1199,43,5,4
1200,43,4,2
1201,31,3,4
1202,43,4,3
1203,39,7,4
1204,13,0,1
1205,48,7,4
1206,19,1,3
1207,17,0,2
1208,29,5,4
1209,22,3,2
1210,43,4,3
1211,73,9,5
1212,30,4,4
1213,25,3,2
1214,39,4,4
1215,40,5,3
1216,17,1,4
1217,27,1,4
1218,44,5,2
1219,50,5,2
1220,9,0,2
1221,27,2,4
1222,22,1,2
1223,9,0,3
1224,31,3,2
1225,35,4,2
1226,43,4,1
1227,22,2,3
1228,20,0,2
1229,49,6,4
1230,61,7,5
1231,22,2,2
1232,58,6,5
1233,29,4,3
1234,38,4,4
1235,19,1,3
1236,29,3,3
1237,69,11,7
1238,84,12,5
1239,112,17,8
1240,53,5,5
1241,21,3,3
1242,27,4,3
1243,55,7,3
1244,11,0,2
1245,44,6,3
1246,31,3,3
1247,111,14,5
1248,30,3,2
1249,69,7,3
1250,47,7,5
1251,34,3,2
1252,30,0,0
1253,19,1,3
1254,67,9,6
1255,26,2,4
1256,95,15,8
1257,24,1,3
1258,34,5,4
1259,26,5,3
1260,33,4,4
1261,71,5,2
1262,47,5,4
1263,68,7,3
1264,42,8,7
1265,28,3,2
1266,29,6,3
1267,39,6,4
1268,18,0,2
1269,18,4,4
1270,29,2,3
1271,33,3,4
1272,44,3,4
1273,13,1,2
1274,23,2,2
1275,8,1,2
1276,32,3,2
1277,34,4,1
1278,45,3,1
1279,33,3,3
1280,24,3,3
1281,44,5,5
1282,19,0,2
1283,27,0,0
1284,23,3,2
1285,24,2,2
1286,41,7,3
1287,29,3,3
1288,12,0,1
1289,63,8,2
1290,60,11,6
1291,27,1,1
1292,41,7,5
1293,22,3,4
1294,16,0,3
1295,87,14,7
1296,36,3,2
1297,25,2,1
1298,8,1,4
1299,22,3,4
1300,35,3,2
1301,48,6,2
1302,28,2,5
1303,21,3,2
1304,93,12,8
1305,24,2,4
1306,83,12,5
1307,8,0,3
1308,18,2,2
1309,84,13,6
1310,53,7,5
1311,26,5,5
1312,27,4,4
1313,12,1,4
1314,26,3,1
1315,16,3,3
1316,20,4,3
1317,49,7,6
1318,21,3,1
1319,17,1,2
1320,34,3,4
1321,21,2,4
1322,27,4,3
1323,17,0,2
1324,21,1,2
1325,59,8,4
1326,47,5,2
1327,57,8,5
1328,71,11,3
1329,38,6,4
1330,48,6,5
1331,37,2,1
1332,135,18,7
1333,32,2,2
1334,15,1,2
1335,46,6,4
1336,26,1,2
1337,21,3,4
1338,113,15,9
1339,23,5,4
1340,31,7,6
1341,13,0,1
1342,24,4,4
1343,54,6,4
1344,53,4,4
1345,64,9,6
1346,19,0,3
1347,37,4,3
1348,14,1,1
1349,19,1,3
1350,18,1,3
1351,55,7,2
1352,35,4,3
1353,23,2,3
1354,22,1,2
1355,26,1,2
1356,34,4,6
1357,39,4,4
1358,27,3,3
1359,19,1,2
1360,89,13,5
1361,44,7,2
1362,56,4,4
1363,10,0,1
1364,38,6,4
1365,68,12,2
1366,27,0,0
1367,28,1,1
1368,35,5,5
1369,41,4,4
1370,19,1,3
1371,48,6,3
1372,37,3,3
1373,10,0,4
1374,12,0,2
1375,52,5,3
1376,23,2,2
1377,29,3,2
1378,69,5,6
1379,16,1,2
1380,10,0,2
1381,16,1,2
1382,35,4,4
1383,49,7,7
1384,20,2,3
1385,38,1,1
1386,61,7,5
1387,25,1,1
1388,17,1,2
1389,48,4,2
1390,35,1,0
1391,14,0,1
1392,37,5,4
1393,78,9,4
1394,37,2,3
1395,69,10,9
1396,53,6,4
1397,34,5,4
1398,31,5,4
1399,19,1,3
1400,13,1,4
1401,94,14,7
1402,28,1,1
1403,34,2,2
1404,13,1,2
1405,22,2,2
1406,19,4,5
1407,10,1,2
1408,86,10,4
1409,15,1,3
1410,86,13,3
1411,40,2,2
1412,21,2,2
1413,21,1,4
1414,16,0,3
1415,30,1,2
1416,27,1,4
1417,24,2,2
1418,32,2,2
1419,45,4,3
1420,40,4,4
1421,21,2,3
1422,16,1,3
1423,14,1,3
1424,29,3,2
1425,94,15,5
1426,59,9,5
1427,27,3,4
1428,27,3,2
1429,13,2,3
1430,40,7,6
1431,23,1,3
1432,64,10,7
1433,74,11,8
1434,42,3,2
1435,99,11,5
1436,23,0,0
1437,93,13,4
1438,32,2,2
1439,17,1,1
1440,22,2,3
1441,20,0,2
1442,33,3,5
1443,34,4,2
1444,74,11,7
1445,52,6,5
1446,47,4,4
1447,75,13,4
1448,85,9,3
1449,65,5,0
1450,89,14,7
1451,22,4,3
1452,37,5,3
1453,22,2,3
1454,13,1,2
1455,46,5,3
1456,34,8,4
1457,26,5,3
1458,48,4,4
1459,27,2,2
1460,23,2,1
1461,21,3,3
1462,71,8,6
1463,102,12,6
1464,13,2,3
1465,17,2,3
1466,42,4,5
1467,70,7,3
1468,38,2,2
1469,67,8,5
1470,14,0,1
1471,42,6,4
1472,32,3,5
1473,69,10,6
1474,18,1,1
1475,44,3,5
1476,40,3,1
1477,14,2,3
1478,51,7,7
1479,31,5,5
1480,25,0,2
1481,33,5,5
1482,13,0,1
1483,19,2,3
1484,16,1,1
1485,34,4,5
1486,22,3,1
1487,59,7,9
1488,14,0,2
1489,26,1,3
1490,13,0,1
1491,27,2,3
1492,66,11,8
1493,23,3,3
1494,16,2,4
1495,46,6,4
1496,14,2,3
1497,16,2,2
1498,51,12,8
1499,12,2,4
1500,107,12,7
1501,21,1,2
1502,17,1,4
1503,51,6,5
1504,16,2,2
1505,37,4,1
1506,30,4,2
1507,42,7,7
1508,45,5,3
1509,24,3,3
1510,22,1,2
1511,35,3,3
1512,23,1,1
1513,30,4,1
1514,126,20,10
1515,23,0,1
1516,22,2,3
1517,14,2,3
1518,29,2,2
1519,23,4,4
1520,35,5,2
1521,38,4,4
1522,21,2,2
1523,33,2,1
1524,37,4,2
1525,24,1,2
1526,39,5,4
1527,9,0,3
1528,9,1,3
1529,18,2,3
1530,49,4,3
1531,93,12,3
1532,40,2,4
1533,147,30,14
1534,51,9,4
1535,44,7,1
1536,26,1,0
1537,20,1,1
1538,23,3,2
1539,47,5,3
1540,19,1,1
1541,84,10,8
1542,84,13,4
1543,30,2,2
1544,55,6,3
1545,52,8,2
1546,27,3,4
1547,9,0,1
1548,27,1,1
1549,12,0,1
1550,51,7,5
1551,64,11,7
1552,75,11,10
1553,17,1,1
1554,40,5,3
1555,19,0,2
1556,8,1,3
1557,41,7,2
1558,11,0,3
1559,18,1,1
1560,68,11,4
1561,53,6,4
1562,32,1,3
1563,10,1,2
1564,42,5,5
1565,61,10,4
1566,66,8,4
1567,20,2,2
1568,13,0,2
1569,29,1,1
1570,21,0,2
1571,36,5,2
1572,31,5,4
1573,38,3,2
1574,87,8,3
1575,48,6,2
1576,35,7,4
1577,18,1,2
1578,18,1,2
1579,76,9,4
1580,12,1,3
1581,39,5,3
1582,28,4,1
1583,17,0,3
1584,22,3,5
1585,25,1,2
1586,67,12,5
1587,78,11,10
1588,21,1,2
1589,41,6,2
1590,18,0,3
1591,65,7,2
1592,68,7,3
1593,26,1,2
1594,14,0,1
1595,25,2,2
1596,12,1,4
1597,15,0,3
1598,22,1,4
1599,16,2,2
1600,31,2,3
1601,54,7,4
1602,13,1,3
1603,39,4,5
1604,34,3,3
1605,24,4,1
1606,75,8,6
1607,24,1,1
1608,17,3,3
1609,15,0,1
1610,39,1,0
1611,10,0,3
1612,20,1,3
1613,16,2,3
1614,13,1,2
1615,38,7,4
1616,33,3,2
1617,22,2,2
1618,35,5,5
1619,50,5,1
1620,12,0,1
1621,21,3,4
1622,64,10,6
1623,32,5,3
1624,22,3,2
1625,39,6,6
1626,28,3,2
1627,26,0,1
1628,38,2,2
1629,30,4,3
1630,46,5,4
1631,40,4,4
1632,46,6,6
1633,55,4,2
1634,51,9,3
1635,14,2,2
1636,24,2,2
1637,16,1,2
1638,27,1,2
1639,8,1,4
1640,91,12,6
1641,48,5,5
1642,29,4,4
1643,17,1,5
1644,16,0,2
1645,26,1,1
1646,31,1,2
1647,73,9,5
1648,38,4,3
1649,32,3,4
1650,55,8,6
1651,18,2,3
1652,16,1,2
1653,11,0,3
1654,24,1,2
1655,78,9,5
1656,15,1,1
1657,66,5,5
