,turns
1439,9
1440,26
1441,15
1442,16
1443,16
1444,22
1445,13
1446,12
1447,21
1448,23
1449,23
1450,15
1451,22
1452,16
1453,13
1454,15
1455,9
1456,24
1457,12
1458,13
1459,9
1460,11
1461,14
1462,9
1463,15
1464,9
1465,25
1466,21
1467,19
1468,10
1469,17
1470,19
1471,20
1472,8
1473,15
1474,25
1475,25
1476,16
1477,26
1478,15
1479,16
1480,17
1481,22
1482,19
1483,14
1484,11
1485,8
1486,9
1487,16
1488,12
1489,22
1490,29
1491,14
1492,15
1493,23
1494,18
1495,25
1496,12
1497,19
1498,12
1499,20
1500,16
1501,18
1502,25
1503,26
1504,7
1505,22
1506,20
1507,28
1508,25
1509,11
1510,24
1511,18
1512,14
1513,19
1514,21
1515,13
1516,28
1517,12
1518,8
1519,11
1520,16
1521,12
1522,23
1523,19
1524,9
1525,11
1526,19
1527,16
1528,10
1529,18
1530,34
1531,13
1532,21
1533,13
1534,19
1535,14
1536,24
1537,13
1538,11
1539,12
1540,11
1541,14
1542,14
1543,17
1544,11
1545,20
1546,10
1547,23
1548,15
1549,16
1550,15
1551,8
1552,17
1553,16
1554,19
1555,26
1556,23
1557,9
1558,18
1559,15
1560,18
1561,12
1562,23
1563,18
1564,13
1565,17
1566,39
1567,21
1568,26
1569,15
1570,29
1571,18
1572,7
1573,11
1574,41
1575,16
1576,27
1577,9
1578,15
1579,13
1580,17
1581,24
1582,20
1583,21
1584,22
1585,23
1586,8
1587,18
1588,13
1589,8
1590,26
1591,26
1592,9
1593,13
1594,19
1595,10
1596,14
1597,17
1598,14
1599,20
1600,8
1601,17
1602,12
1603,12
1604,22
1605,12
1606,41
1607,38
1608,36
1609,19
1610,22
1611,49
1612,27
1613,18
1614,10
1615,11
1616,40
1617,10
1618,10
1619,10
1620,22
1621,12
1622,10
1623,23
1624,19
1625,16
1626,15
1627,12
1628,17
1629,12
1630,14
1631,26
1632,20
1633,14
1634,17
1635,8
1636,18
1637,24
1638,25
1639,13
1640,28
1641,18
1642,12
1643,13
1644,19
1645,15
1646,20
1647,15
1648,15
1649,17
1650,31
1651,13
1652,11
1653,28
1654,17
1655,10
1656,15
1657,21
1658,19
