,turns,player_position1,player_position2
1491,26,99,25
1492,17,99,99
1493,9,99,31
1494,18,99,87
1495,13,99,47
1496,29,99,77
1497,16,99,23
1498,24,99,82
1499,13,44,99
1500,11,99,47
1501,32,99,83
1502,22,99,72
1503,15,99,44
1504,14,99,99
1505,33,87,99
1506,51,49,99
1507,11,99,45
1508,13,99,42
1509,26,99,88
1510,29,99,41
1511,29,99,75
1512,16,33,99
1513,18,99,80
1514,21,99,78
1515,10,99,9
1516,22,99,72
1517,33,29,99
1518,21,19,99
1519,29,99,34
1520,41,99,74
1521,11,91,99
1522,35,99,42
1523,23,82,99
1524,28,45,99
1525,36,51,99
1526,42,88,99
1527,13,42,99
1528,32,88,99
1529,17,99,85
1530,13,99,14
1531,23,76,99
1532,84,74,99
1533,14,18,99
1534,15,99,89
1535,15,99,54
1536,62,95,99
1537,17,78,99
1538,27,99,83
1539,15,99,66
1540,24,99,80
1541,31,99,89
1542,29,28,99
1543,26,99,89
1544,21,99,77
1545,19,99,45
1546,30,99,85
1547,31,80,99
1548,38,72,99
1549,30,69,99
1550,28,39,99
1551,29,32,99
1552,15,64,99
1553,20,99,88
1554,17,99,81
1555,22,99,77
1556,10,99,44
1557,24,75,99
1558,23,99,93
1559,15,99,76
1560,19,85,99
1561,21,73,99
1562,27,99,56
1563,14,65,99
1564,24,19,99
1565,16,40,99
1566,21,25,99
1567,26,10,99
1568,21,83,99
1569,34,99,34
1570,18,91,99
1571,38,99,76
1572,17,99,95
1573,20,99,73
1574,17,51,99
1575,23,99,37
1576,20,42,99
1577,16,99,43
1578,32,99,43
1579,35,34,99
1580,27,99,32
1581,21,64,99
1582,14,30,99
1583,11,99,26
1584,33,99,99
1585,18,99,52
1586,30,99,43
1587,22,89,99
1588,15,45,99
1589,14,99,58
1590,24,89,99
1591,17,99,62
1592,13,99,80
1593,31,64,99
1594,72,36,99
1595,20,13,99
1596,23,36,99
1597,28,90,99
1598,23,62,99
1599,25,91,99
1600,20,99,44
1601,12,87,99
1602,12,69,99
1603,10,99,59
1604,28,99,91
1605,32,51,99
1606,42,62,99
1607,21,84,99
1608,13,99,90
1609,24,99,40
1610,26,99,53
1611,28,30,99
1612,14,99,28
1613,26,99,76
1614,36,83,99
1615,17,99,34
1616,10,44,99
1617,29,99,83
1618,31,21,99
1619,14,64,99
1620,24,14,99
1621,29,72,99
1622,9,93,99
1623,12,99,90
1624,53,99,87
1625,12,99,40
1626,29,99,52
1627,24,57,99
1628,34,99,80
1629,20,99,56
1630,20,60,99
1631,42,78,99
1632,25,99,90
1633,23,45,99
1634,42,26,99
1635,11,5,99
1636,35,24,99
1637,17,98,99
1638,27,99,96
1639,37,72,99
1640,11,99,56
1641,14,99,83
1642,32,16,99
1643,29,99,84
1644,22,87,99
1645,16,83,99
1646,52,99,43
1647,23,38,99
1648,12,99,54
1649,17,99,59
1650,21,83,99
1651,36,43,99
1652,23,37,99
1653,20,99,66
1654,7,99,83
1655,14,99,62
1656,14,28,99
1657,18,81,99
1658,9,99,12
1659,25,99,60
